id,stance,explanation
244,positive,"the user criticizes naturopaths and homeopaths for promoting vaccine hesitancy and offering alternatives to vaccines, which implies a positive stance towards vaccination as they view these practices as threats to public health."
245,neutral,"the tweet is a factual statement about the steps being taken to get a coronavirus vaccine approved. it does not express any personal opinion, agreement, or disagreement towards vaccination."
246,neutral,the tweet is a factual or objective statement about a situation where parents disagree over the covid-19 vaccine for children. it does not express a clear stance or opinion towards vaccination.
247,neutral,"the tweet reports on jessica biel's statement about not being against vaccinations, but it does not clearly express the user's own stance towards vaccination. the user is sharing celebrity news without indicating agreement or disagreement with the statement."
248,positive,"the user expresses a willingness to get the yellow fever vaccine, even though they believe they may have already received it. this indicates a positive stance towards vaccination."
249,positive,"the user expresses hope and anticipation towards the availability of a vaccine within a specific timeframe, which indicates a positive stance towards vaccination."
250,negative,"the user appears to be mocking or criticizing the concept of vaccines in a sarcastic or dismissive manner, which indicates a negative stance towards vaccination."
251,negative,"the user explicitly expresses a refusal to take a vaccine, indicating a negative stance towards vaccination."
252,neutral,the tweet does not express a clear stance towards vaccination. it appears to be a humorous or sarcastic statement without directly supporting or opposing vaccines.
253,neutral,"the tweet is a factual or objective statement that mentions a topic related to vaccination during pregnancy without expressing a clear stance or opinion towards vaccination. it does not indicate support, opposition, or any emotional reaction towards vaccines."
254,neutral,the tweet is a factual statement about washington's policy regarding unvaccinated kids and its aim to prevent measles outbreaks. it does not explicitly express the user's stance towards vaccination.
255,neutral,"the tweet is an announcement for a survey on perspectives about vaccines. it does not express any personal opinion or stance towards vaccination, making it neutral."
256,neutral,"the tweet reports on a study about russian trolls spreading misinformation about vaccines. it does not explicitly express the user's stance towards vaccination, nor does it meet the criteria for positive or negative classification."
257,neutral,the tweet is a poll asking about comfort levels regarding mask-wearing and does not express any clear stance towards vaccination. it is factual and does not indicate support or opposition to vaccines.
258,negative,the user expresses skepticism about the effectiveness of vaccination by stating that it 'doesn't matter if they're vaccinated' in the context of the delta variant. this indicates a negative stance towards vaccination.
259,neutral,the tweet is a factual report about a kentucky doctor's medical license being placed on probation due to improper handling of flu vaccines by his wife. it does not express any opinion or stance towards vaccination.
260,positive,"the user is expressing frustration about the lack of a vaccine for rabbits, which implies a desire for a vaccine to be available. this aligns with a positive stance towards vaccination."
261,neutral,the tweet is sharing a book title and a hashtag related to parenting without expressing any clear opinion or stance towards vaccination. it is factual and does not indicate support or opposition to vaccines.
262,negative,"the user mentions that someone said the person in question is an anti-vaxxer, which implies a negative stance towards vaccination. the user does not express disagreement with this statement, suggesting alignment with the negative sentiment towards anti-vaxxers."
263,negative,"the user is expressing skepticism and mocking the process of administering vaccines in a drive-thru situation, implying disbelief in the legitimacy or safety of such a setup. this indicates a negative stance towards vaccination."
264,neutral,the tweet mentions 'vaccine tourism' to the uk but does not express a clear positive or negative stance towards vaccination. it is more of an observation or prediction without any explicit opinion or sentiment towards vaccines.
265,neutral,the tweet shares a news headline about a vaccine lawsuit without expressing any personal opinion or stance towards vaccination. it is factual and does not indicate support or opposition to vaccines.
266,neutral,the tweet does not express any opinion or stance towards vaccination itself. it is about the user's personal situation regarding a quiz on vaccination.
267,neutral,the tweet discusses predictions and potential paths regarding lockdowns and vaccines but does not explicitly express a positive or negative stance towards vaccination. it remains factual and does not indicate the user's personal opinion on vaccines.
268,positive,"the user is being ironic about the actions of the individuals mentioned, implying that they are vaccinated and protected. this irony suggests a positive stance towards vaccination, as the user acknowledges its protective benefits."
269,neutral,"the tweet is a factual statement about bharat biotech applying for emergency approval for its vaccine. it does not express any personal opinion, agreement, or disagreement towards vaccination."
270,neutral,"the tweet reports on a situation involving a health official's statement about linking alcohol sales to vaccination status. it does not explicitly express the user's stance towards vaccination, nor does it meet the criteria for positive or negative classification."
271,neutral,"the tweet is a factual statement about a revised recommendation for the pneumonia vaccine. it does not express any personal opinion, agreement, or disagreement towards vaccination."
272,negative,"the user expresses skepticism about the early vaccines, suggesting they will have problems, and aligns with a negative view towards the vaccine's initial rollout. this indicates a negative stance towards vaccination."
273,neutral,the tweet discusses the political debate over vaccination requirements in texas without expressing a clear stance for or against vaccines. it provides information about a politician's position but does not indicate the user's personal opinion or attitude towards vaccination.
274,negative,the user expresses anger and disapproval towards the judge's decision to strip custody of a child until the mother gets a covid-19 vaccine. this indicates a negative stance towards vaccination as the user is upset about the vaccine being a condition for custody.
275,neutral,"the tweet is a factual statement about a scientific development related to a polio vaccine. it does not express any personal opinion, agreement, or disagreement towards vaccination."
276,neutral,the user is asking a question about travel requirements related to covid testing and vaccination status. there is no clear positive or negative stance towards vaccination expressed in the tweet.
277,positive,"the user expresses concern about the potential expiration of insulin and flu vaccines due to a logjam at channel ports. this indicates a positive stance towards the importance and availability of vaccines, as the user is unhappy about the possibility of them going to waste."
278,neutral,the tweet provides factual information about the vaccination status of morgan stanley's staff without expressing any personal opinion or stance towards vaccination.
279,negative,"the tweet shares a negative statement about covid-19 vaccines, suggesting that vaccinated individuals can harm unvaccinated individuals by 'shedding' spike proteins. by sharing this information without any indication of disagreement, the user aligns with a negative stance towards vaccination."
280,neutral,the tweet is a humorous and lighthearted commentary on the user's experience with cow vaccination and their perceived qualification for a cowboy hat. it does not express a clear stance towards human vaccination or vaccines in general.
281,neutral,the tweet provides factual information about the eradication of smallpox through vaccination and mentions that people born since then haven't been vaccinated. it does not express a clear stance or opinion towards vaccination.
282,neutral,"the tweet is sharing information about a study on vaccination and its potential benefits. it does not express a personal opinion or stance towards vaccination, making it neutral."
283,positive,"the user acknowledges the efforts of rotary international in funding vaccines to eradicate a harmful virus, which indicates a positive stance towards vaccination. although the user criticizes the who's decision to administer the vaccine in a war zone, this does not negate their overall support for vaccines."
284,neutral,"the tweet provides factual information about generex receiving a contract to develop a covid-19 vaccine. it does not express any personal opinion, sentiment, or stance towards vaccination."
285,neutral,"the tweet is a factual statement about the start of clinical trials for a covid-19 vaccine in cavite. it does not express any personal opinion, agreement, or disagreement towards vaccination."
286,neutral,the user is inquiring about the implications of restrictions in michigan related to large gatherings and the availability of a vaccine. there is no clear positive or negative stance towards vaccination expressed in the tweet.
287,positive,"the user expresses hope for the availability of a covid-19 vaccine, which aligns with a positive stance towards vaccination."
288,neutral,the tweet is a factual statement about the need for moderna and pfizer to increase vaccine deliveries to meet their goals. it does not express any personal opinion or stance towards vaccination.
289,neutral,"the tweet is a factual statement about a study on the immune response to influenza vaccination in children. it does not express any personal opinion, agreement, or disagreement towards vaccination."
290,neutral,"the tweet is a humorous comment about an 'appendix vaccine,' which does not exist. it does not express a stance towards actual vaccines or vaccination, and therefore, it is classified as neutral."
291,neutral,"the tweet does not express a clear stance towards vaccination. it simply recounts a conversation about the prediction of vaccinating 6-month-olds without indicating approval, disapproval, or any emotional response towards the vaccines."
292,neutral,the tweet is factual and discusses allergic reactions to the covid-19 vaccine and how to manage patients' concerns. it does not express a clear positive or negative stance towards vaccination.
293,neutral,"the tweet provides a factual statement about the increase in medical vaccine exemptions in california since 2015. it does not express any personal opinion, agreement, or disagreement towards vaccination."
294,neutral,the tweet expresses a general observation about 'vaccine fatigue' without explicitly supporting or opposing vaccination. it does not provide enough context to determine a positive or negative stance towards vaccines.
295,positive,"the user is being ironic about people being negative towards the covid vaccine, implying that concerns about the vaccine's contents are unwarranted compared to other everyday risks like drinking from a public water fountain. this indicates a positive stance towards vaccination."
296,negative,"the user expresses skepticism and concern about the vaccine, citing potential risks to the body's response and the virus mutating. this indicates a negative stance towards vaccination."
297,negative,"the user is critical of pinterest's action to censor the vaccination debate, which implies a negative stance towards vaccination or the promotion of vaccination."
298,neutral,"the tweet is a factual statement about the ebola vaccine being administered in congo and does not express any personal opinion, sentiment, or stance towards vaccination."
299,neutral,the tweet does not explicitly express a stance towards vaccination. it appears to be promoting a discussion or debate on the topic of compulsory vaccination without indicating the user's personal opinion.
300,neutral,the tweet is an announcement about a vaccine clinic for dogs and does not express any personal opinion or stance towards vaccination.
301,neutral,the tweet is a question asking if someone would take the vaccine if it becomes available next month. it does not express a clear stance or opinion towards vaccination.
302,negative,"the tweet highlights a proposal for mandatory vaccination and the involvement of the army in the rollout, which could be interpreted as controversial or authoritarian. the user does not express agreement or support for the proposal, and the tone suggests skepticism or disapproval, leading to a negative stance towards vaccination in this context."
303,neutral,the tweet is a question about rights related to event cancellations due to coronavirus. it does not express any opinion or stance towards vaccination.
304,neutral,"the tweet discusses the contrast between crowded hospital areas and an empty vaccination certificate area, highlighting social privilege. however, it does not explicitly express a stance towards vaccination itself, making it neutral."
305,positive,"the user is expressing frustration or concern about the limited availability of covid-19 vaccine doses, which indicates a desire for more vaccine doses to be available. this reflects a positive stance towards vaccination."
306,positive,"the user is being ironic about people who are concerned about the contents of the vaccine, implying that such concerns are unfounded. this suggests a positive stance towards vaccination."
307,neutral,the tweet is factual and discusses lowering the cost of vaccine production without expressing any personal opinion or stance towards vaccination.
308,negative,the tweet promotes a source that appears to question vaccine safety by emphasizing 'vaccine reactions' and encouraging people to 'think twice' about vaccines. this suggests a negative stance towards vaccination.
309,positive,the user implies that a vaccine is a necessary condition for reopening in a scenario where mortality rates are higher for whites. this suggests a positive stance towards the importance and necessity of a vaccine.
310,neutral,"the tweet does not explicitly express a clear stance towards vaccination. it mentions uncertainty about the vaccine's safety but does not provide a definitive opinion or sentiment towards it. the focus of the tweet shifts to criticizing kamala harris and the border situation, making the stance towards vaccination neutral."
311,neutral,the tweet is a factual statement about the australian open 2022 and the policy regarding unvaccinated players. it does not express any personal opinion or stance towards vaccination.
312,neutral,the tweet is a factual inquiry about historical school-based vaccine trials and their ethical standards. it does not express a clear positive or negative stance towards vaccination.
313,neutral,"the tweet is a factual statement about a health campaign for the second dose of the hepatitis b vaccine. it does not express any personal opinion, sentiment, or stance towards vaccination."
314,neutral,"the tweet is a factual statement about a research center potentially developing a coronavirus vaccine. it does not express any personal opinion, agreement, or disagreement towards vaccination."
315,neutral,the tweet is a factual statement about germany's actions regarding a firm working on a vaccine. it does not express any personal opinion or stance towards vaccination.
316,neutral,the tweet does not provide any clear stance towards vaccination. it appears to be unrelated to the topic of vaccines and does not express any opinion or sentiment about them.
317,neutral,the tweet is a factual statement about the availability of vaccines for women with hpv cancer infection. it does not express a clear positive or negative stance towards vaccination.
318,neutral,the tweet does not express a clear stance towards vaccination. it comments on the perception of unvaccinated individuals but does not indicate whether the user supports or opposes vaccines.
319,neutral,"the tweet is a factual statement about the first trucks carrying the covid-19 vaccine leaving the pfizer facility. it does not express any personal opinion, emotion, or stance towards vaccination."
320,neutral,"the tweet discusses a statement from facebook and mentions a connection between murthy's wife and zuckerberg, but it does not explicitly express a stance towards vaccination. the content is more focused on the relationship and the missed vaccination goal rather than the user's opinion on vaccines."
321,positive,"the user expresses hope and anticipation towards the development of a coronavirus vaccine, as they refer to the news as 'goodnews' and show interest in the progress of vaccine trials."
322,neutral,"the tweet is a factual statement about challenges in developing an hiv vaccine. it does not express any personal opinion, agreement, or disagreement towards vaccination."
323,neutral,"the tweet is a factual statement about the covishield producer seeking approval to manufacture the sputnik v vaccine. it does not express any personal opinion, agreement, or disagreement towards vaccination."
324,neutral,the tweet is a factual question about the necessity of pap tests for women who have received the hpv vaccine. it does not express any clear stance or opinion towards vaccination.
325,neutral,"the tweet is a factual statement about the fda approving a new vaccine from sanofi and merck. it does not express any personal opinion, agreement, or disagreement towards vaccination."
326,positive,"the user highlights the increasing global demand for a vaccine as cases rise, which reflects a positive stance towards vaccination. the mention of approval and demand indicates an acknowledgment of the importance and value of vaccines."
327,positive,"the tweet discusses a request to prioritize teachers for the covid-19 vaccine, which implies a positive stance towards vaccination as it highlights the importance of making vaccines available to a specific group."
328,neutral,"the tweet is a factual statement about africa's wait for the covid-19 vaccine and does not express any personal opinion, sentiment, or stance towards vaccination."
329,neutral,the tweet shares a factual statement about a study on hpv vaccination and its impact on behavior. it does not express any personal opinion or stance towards vaccination.
330,neutral,the tweet shares a statement or link related to federal vaccine mandates without expressing any personal opinion or stance towards vaccination. it is factual and does not indicate support or opposition.
331,positive,"the user is likely expressing concern or frustration about the cancellation of flu vaccine sessions, which implies a positive stance towards vaccination as they value its availability."
332,neutral,the tweet provides factual information about the wyss' omnivax infection vaccine technology and the team behind it. it does not express a clear stance or opinion towards vaccination.
333,neutral,"the tweet is a factual statement about israel receiving its first delivery of the pfizer covid-19 vaccine. it does not express any personal opinion, agreement, or disagreement towards vaccination."
334,positive,the user is providing information about the availability of covid-19 vaccine appointments. this indicates a positive stance towards vaccination as it shows anticipation or encouragement for people to get vaccinated.
335,neutral,"the tweet is a factual statement about the search for a new tb vaccine and does not express any personal opinion, sentiment, or stance towards vaccination."
336,neutral,"the tweet is a factual statement about the treatment and vaccination of livestock in specific locations. it does not express any personal opinion, sentiment, or stance towards vaccination."
337,negative,"the user is sarcastically referencing their mother's comment that getting covid serves as a booster vaccine. this implies skepticism or dismissal of the importance of actual vaccines, leading to a negative stance towards vaccination."
338,neutral,"the tweet reports on a poll about fox news viewers' beliefs regarding bill gates and virus vaccines. it does not explicitly express the user's stance towards vaccination, nor does it meet the criteria for positive or negative classification."
339,neutral,"the tweet is a factual statement about the start of an anti rubella-measles vaccination campaign. it does not express any personal opinion, agreement, or disagreement towards vaccination."
340,neutral,the tweet provides factual information about a legal case related to vaccine injury without expressing any personal opinion or stance towards vaccination.
341,neutral,the tweet is a factual statement about flu shots being administered to non-humans as well. it does not express any clear stance or opinion towards vaccination.
342,negative,"the user expresses skepticism about the feasibility of a vaccine due to the daily mutation of covid, which indicates a negative stance towards vaccination."
343,neutral,"the tweet is a factual statement about an ebola vaccine being tested in the real world. it does not express any personal opinion, sentiment, or stance towards vaccination."
344,neutral,"the tweet provides an update about a 'physician’s warranty of vaccine safety' and includes a link. it does not express any clear opinion or stance towards vaccination, making it neutral."
345,neutral,the tweet is a factual statement about a new vaccine potentially eliminating cervical cancer. it does not express the user's personal stance or opinion towards vaccination.
346,neutral,"the tweet is a factual statement about early immune response and its relation to vaccination, without expressing any personal opinion or stance towards vaccination."
347,positive,"the user is being ironic and critical of the anti-vaccine stance of the girl in their class. the use of the eye-roll emoji (😒) further emphasizes their disapproval of the anti-vaccine reasoning, which indicates a positive stance towards vaccination."
348,positive,"the user mentions '#vaccine in works' in a list of topics that should be reported, which indicates a positive stance towards the development of a vaccine."
349,positive,"the user reflects on the impact of polio and mentions the salk vaccine in a historical context. while the tweet does not explicitly advocate for vaccination, it acknowledges the importance of the vaccine in preventing the disease, which implies a positive stance towards vaccination."
350,positive,"the tweet uses irony to highlight the waiting period between vaccinating different age groups, implying support for vaccination and the process of vaccinating people. the humor does not detract from the positive stance towards vaccination."
351,negative,"the user expresses a negative stance towards vaccination by ridiculing and opposing the idea of vaccines, suggesting they are unnecessary and profit-driven. the user also accuses others of being against humanity for supporting vaccines."
352,neutral,"the tweet is reporting on a situation where medical experts are explaining to trump that the flu vaccine will not work for coronavirus. it does not express a clear stance towards vaccination itself, either positive or negative."
353,positive,the user is enquiring about the possibility of increasing vaccine production by suggesting a pivot to manufacturing pfizer or novavax. this indicates a positive stance towards vaccines as the user is interested in their availability and production.
354,neutral,the tweet is a factual statement about an event prompting increased vaccination efforts. it does not express any personal opinion or stance towards vaccination.
355,neutral,"the tweet is a news report about a measles outbreak in a region known for being an anti-vaccination 'hot spot.' it does not explicitly express the user's stance towards vaccination, nor does it include any agreement or disagreement with the content of the news."
356,neutral,the tweet provides a factual update about a vaccine expert's warning regarding the u.s. response to the pandemic. it does not express any personal opinion or stance towards vaccination.
357,positive,the user is emphasizing the importance of vaccines by pointing out that not being sick doesn't negate the need for vaccination. this suggests a positive stance towards vaccines.
358,neutral,the tweet is a factual statement about sanofi's reaction to the philippine fda's demand regarding dengue vaccine ads. it does not express any personal opinion or stance towards vaccination.
359,positive,"the user expresses anticipation and eagerness to get vaccinated, as they associate it with the ability to resume social activities and see friends. this reflects a positive stance towards vaccination."
360,neutral,the tweet shares a factual statement about the recommendation of giving the hep b vaccine sooner by a pediatricians group. it does not explicitly express the user's personal stance or opinion towards vaccination.
361,positive,"the user is being ironic and playful about getting vaccinated, addressing people who might think they are cowardly. this irony and the act of getting vaccinated indicate a positive stance towards vaccination."
362,neutral,"the tweet is a question asking about the efficiency, safety, and voluntariness of covid vaccines. it does not express a clear stance or opinion towards vaccination."
363,neutral,"the tweet is a factual statement about the price of the dengue vaccine in a specific location. it does not express any opinion, sentiment, or stance towards vaccination."
364,neutral,the tweet is a factual statement about scams related to the vaccination drive. it does not express any personal opinion or stance towards vaccination itself.
365,neutral,the tweet discusses flu shot myths and their validity but does not explicitly express a stance towards vaccination. it is informational and does not indicate the user's personal opinion or feelings about vaccines.
366,neutral,the tweet is factual and provides information about the progress of a vaccine trial without expressing any personal opinion or stance towards vaccination.
367,neutral,"the tweet is a factual statement about the increasing number of unvaccinated children in the u.s. it does not explicitly express the user's stance towards vaccination, nor does it meet the criteria for positive or negative classification."
368,negative,"the tweet highlights a negative consequence (school bus route cancellations) attributed to vaccine mandates, which implies a negative stance towards vaccination mandates and, by extension, vaccination."
369,negative,"the user is sharing a statement where marjorie taylor greene claims that covid-19 vaccines are 'failing.' this is a negative statement about vaccines, and there is no indication in the tweet that the user disagrees with or is ironic about this statement. therefore, the stance is classified as negative."
370,neutral,"the tweet is factual and objective, providing information about a panel discussion on covid-19 response and vaccine questions. it does not express any personal stance or opinion towards vaccination."
371,neutral,the tweet does not express any clear stance towards vaccination. it mentions a potential risk related to ebola but does not provide any opinion or sentiment about vaccines.
372,neutral,"the tweet is a factual statement about a panel supporting a 5-year monkey fever vaccine. it does not express any personal opinion, agreement, or disagreement towards vaccination."
373,positive,"the user mentions needing to take more doses of a vaccine, which indicates a willingness or acceptance towards vaccination. this aligns with a positive stance towards vaccines."
374,neutral,"the tweet is factual and discusses a study comparing vaccinated vs. unvaccinated children without expressing any personal opinion or stance towards vaccination. it does not indicate support, opposition, or any emotional reaction towards vaccines."
375,neutral,"the tweet does not explicitly express a stance towards vaccination. it focuses on staying safe during the pandemic and does not provide any clear indication of support, opposition, or inquiry about vaccines."
376,neutral,"the tweet is a factual statement about a minister's comment regarding the u.k. approving a coronavirus vaccine. it does not express the user's stance towards vaccination, nor does it meet any of the criteria for positive or negative classification."
377,neutral,the tweet is a factual statement about pm modi launching a vaccination mission and does not express any personal opinion or stance towards vaccination.
378,negative,"the user appears to be critical of moderna's call for a third vaccine shot, especially in the context of the company's significant profit. this suggests a negative stance towards the vaccination or the company's approach to it."
379,positive,"the user expresses a sense of anticipation towards the vaccine, indicating a positive stance. despite the uncertainty of when they will receive it, they do not express any negativity towards the vaccine itself."
380,neutral,the tweet is a factual statement about research involving cows and antibodies in the context of developing an hiv vaccine. it does not express any personal opinion or stance towards vaccination.
381,negative,the user is expressing concern or disapproval about vaccine trials being conducted without irb (institutional review board) approval. this indicates a negative stance towards the vaccination process in this context.
382,neutral,"the tweet is a factual statement about astrazeneca increasing its vaccine production capacity. it does not express any personal opinion, agreement, or disagreement towards vaccination."
383,negative,"the tweet expresses skepticism or disapproval towards the idea of mandatory vaccination for employment, as implied by the phrase 'no jab, no job?' this suggests a negative stance towards vaccination."
384,neutral,the tweet is a factual statement about a new strain of flu not being protected by the flu vaccine. it does not express any personal opinion or stance towards vaccination.
385,negative,"the user implies that repentance, not vaccines, is the solution the world should seek. this suggests a negative stance towards vaccines as it dismisses their importance or relevance."
386,neutral,the tweet is a factual statement about a study on mumps seroprevalence before the introduction of a vaccine in lao pdr. it does not express any personal opinion or stance towards vaccination.
387,neutral,the tweet is a factual statement about the debate among scientists regarding the risks of accelerated testing for a coronavirus vaccine. it does not express a clear stance or opinion towards vaccination.
388,positive,"the user is sharing a statement where a lawmaker expresses dissatisfaction with vaccine distribution. this aligns with the guideline that being unhappy about vaccine unavailability or distribution issues reflects a positive stance towards vaccination, as it implies a desire for better access to vaccines."
389,neutral,"the tweet is asking for opinions and views on the nasal flu spray for children and the flu vaccine for health care professionals. it does not express any clear stance or opinion towards vaccination, either positive or negative."
390,neutral,the tweet provides a factual statement about the hepatitis a vaccine and its relation to an outbreak and the opioid epidemic. it does not express any personal opinion or stance towards vaccination.
391,neutral,"the tweet does not express a clear stance towards vaccination. it mentions a past event about a dog receiving a vaccine but does not provide any opinion, agreement, or disagreement regarding vaccines."
392,neutral,"the tweet does not mention vaccines or vaccination directly, nor does it express any clear stance towards them. it focuses on a different issue entirely."
393,neutral,the tweet comments on the price disparity of the same vaccine in different hospitals but does not express a clear stance towards vaccination itself. the user neither supports nor opposes vaccination in this context.
394,neutral,"the tweet is a factual statement about the delivery of vaccine doses and does not express any personal opinion, sentiment, or stance towards vaccination."
395,neutral,the tweet provides information about a rally in a city with low vaccination rates and a covid surge but does not explicitly express a stance towards vaccination. it is factual and does not include any clear positive or negative sentiment towards vaccines.
396,neutral,the tweet is a factual statement about an er nurse testing positive for covid-19 after receiving the first dose of the vaccine. it does not express any clear stance or opinion towards vaccination.
397,neutral,"the tweet is factual and promotional in nature, discussing the complexity of developing treatments and vaccines for sars-cov-2 and offering tools and instruments. it does not express a clear stance towards vaccination."
398,positive,"the user expresses excitement and hope towards the potential vaccine for heroin addiction, indicating a positive stance towards vaccination."
399,neutral,"the tweet is a factual statement about takeda's zika vaccine receiving 'fast track' status from the u.s. fda. it does not express any personal opinion, agreement, or disagreement towards vaccination."
400,neutral,the tweet is a factual or objective statement about a uas vaccine delivery trial and does not express any personal opinion or stance towards vaccination.
401,positive,"the user acknowledges that the cure is the vaccine, which indicates a positive stance towards vaccination. despite the humorous tone and general sentiment, the recognition of the vaccine as the solution reflects a positive attitude."
402,neutral,the tweet is a promotional message encouraging users to stay updated with news from asu. it does not express any stance towards vaccination.
403,negative,"the user is questioning the safety of live vaccines and implying that they might cause infections to others, which reflects a negative stance towards vaccination."
404,neutral,"the tweet is a factual statement about the development of a vaccine for candida auris. it does not express any personal opinion, hope, or anticipation towards the vaccine, nor does it indicate any disagreement or negative sentiment towards it."
405,negative,"the user expresses skepticism and distrust towards the vaccine from china, questioning its origins and the testing process. this indicates a negative stance towards vaccination in this context."
406,neutral,the tweet does not express any clear stance towards vaccination. it discusses a situation involving a person named lola and does not provide any opinion or sentiment about vaccines.
407,neutral,"the tweet is a factual statement about johnson & johnson's covid-19 vaccine and its potential impact on the pandemic. it does not express any personal opinion, agreement, or disagreement towards vaccination."
408,neutral,the tweet provides a factual statement about unions criticizing a vaccine strategy without expressing the user's personal stance or opinion towards vaccination.
409,neutral,the tweet is a summary of news headlines and does not express any personal opinion or stance towards vaccination. it simply mentions the rise in measles cases due to unvaccinated children as part of a news report.
410,neutral,the tweet is a factual statement about a cholera vaccination campaign in mozambique and does not express any personal opinion or stance towards vaccination.
411,positive,the user is making a lighthearted and ironic comment about their experience with a rabies vaccination regimen in zagreb. the humor and lack of negativity towards the vaccine suggest a positive stance towards vaccination.
412,neutral,the tweet is a factual statement about jessica biel lobbying against state vaccine legislation. it does not explicitly express the user's stance towards vaccination.
413,neutral,the tweet is a news headline that does not explicitly express the user's stance towards vaccination. it is factual and does not indicate agreement or disagreement with the content.
414,neutral,"the tweet is a factual statement about an unvaccinated child dying from the flu in florida. it does not explicitly express the user's stance towards vaccination, nor does it include any emotional or subjective commentary."
415,neutral,"the tweet is a factual statement about a team testing a universal flu vaccine. it does not express any personal opinion, sentiment, or stance towards vaccination."
416,neutral,"the tweet is enquiring about the implications of a person being infected with coronavirus twice, including questions about immunity and vaccine development. it does not express a clear stance towards vaccination, either positive or negative."
417,neutral,"the tweet is a factual statement describing different approaches providers are taking regarding vaccination. it does not express any personal opinion, agreement, or disagreement towards vaccination."
418,neutral,"the tweet is a critique of unfulfilled promises, including a mention of '100 million vaccine doses,' but it does not explicitly express a stance towards vaccination itself. the user's focus is on criticizing broader political promises rather than the vaccine specifically."
419,neutral,"the tweet is a factual statement about the introduction of a neoantigen peptides vaccine for research purposes. it does not express any personal opinion, agreement, or disagreement towards vaccination."
420,neutral,the tweet is a factual statement about del bigtree being the maker of 'vaxxed' and does not express any clear stance towards vaccination.
421,neutral,the tweet simply shares a trailer for a video titled 'vaxxed' without providing any personal opinion or context. it does not express a clear stance towards vaccination.
422,negative,"the tweet highlights a situation where an assistant coach exits the team due to refusing vaccination, and it mentions that players risk losing their jobs if they don't get vaccinated. this suggests a negative stance towards vaccination, as it implies disapproval of the consequences tied to not getting vaccinated."
423,neutral,"the tweet discusses a book and applies its analysis to a broader critique of the non-profit/state/pharma system. it does not explicitly express a stance towards vaccination, either positive or negative, and remains focused on systemic critique."
424,neutral,"the tweet is a factual statement about legislative actions in new jersey, mentioning marijuana, vaccines, and driver's licenses. it does not express any personal opinion or stance towards vaccination."
425,neutral,"the tweet is a factual statement about the beginning of human testing for a universal flu vaccine. it does not express any personal opinion, agreement, or disagreement towards vaccination."
426,positive,"the user expresses concern about the rising covid-19 cases and the lack of a vaccine, implying a desire for a vaccine to address the situation. this aligns with a positive stance towards vaccination."
427,negative,"the user expresses skepticism and distrust towards the vaccine, implying that its purpose is not to work effectively but to control panic. this indicates a negative stance towards vaccination."
428,neutral,the tweet provides factual information about the number of children vaccinated against polio in são paulo. it does not express a clear personal stance or opinion towards vaccination.
429,neutral,the tweet is a factual statement about the impact of the covid-19 vaccine on the yogurt powder market. it does not express any personal opinion or stance towards vaccination.
430,neutral,"the tweet is promoting a discussion on the vaccination debate, presenting both benefits and risks. it does not explicitly express a stance towards vaccination, making it neutral."
431,neutral,"the tweet reports a news story about an incident involving a nurse being punched after a vaccination. it does not explicitly express the user's stance towards vaccination, nor does it meet the criteria for positive or negative classification."
432,neutral,"the tweet provides information about the cancer vaccine partnering market, including insights, trends, and future prospects. it is factual and does not express any personal stance or opinion towards vaccination."
433,neutral,"the tweet mentions vaccine symptoms and lists some substances (aspirin, ivermectin, vitd) without expressing a clear opinion or stance towards vaccination. it is factual or ambiguous in nature."
434,neutral,"the tweet provides information about a news roundup and flu vaccinations without expressing any personal opinion, sentiment, or stance towards vaccines. it is factual and objective."
435,neutral,the tweet is a factual statement about ontario's opposition parties being excluded from the vaccine distribution rollout. it does not express a clear stance or opinion towards vaccination itself.
436,positive,"the user expresses a desire for the availability of a coronavirus vaccine as a condition for lifting the lockdown, indicating a positive stance towards vaccination."
437,neutral,the tweet is a factual statement about barack obama taking the covid-19 vaccine live and other unrelated topics. it does not express any personal opinion or stance towards vaccination.
438,neutral,the tweet is a factual statement about israel being ahead in vaccinations and does not express any clear positive or negative stance towards vaccination.
439,positive,"the user is being ironic about people worrying about the vaccine's contents, implying that such concerns are unnecessary. this irony reflects a positive stance towards vaccination."
440,neutral,the tweet is a question asking about vaccination rates at a school and does not express any clear stance towards vaccination. it is factual and does not indicate support or opposition.
441,neutral,"the tweet is a factual statement about a business acquisition related to a smallpox vaccine. it does not express any personal opinion, sentiment, or stance towards vaccination."
442,neutral,"the tweet is a factual statement about gold prices and market conditions, mentioning hopes of a virus vaccine as part of the context. however, it does not express a clear personal stance or opinion towards vaccination."
443,neutral,the tweet provides factual information about the vaccine's use in india and the lack of details regarding its distribution. it does not express any clear positive or negative stance towards vaccination.
444,neutral,the tweet is factual and does not express any personal opinion or sentiment towards vaccination. it simply states that a doctor co-founded a vaccine organization.
445,neutral,the tweet provides factual information about rotavirus-positive tests before and after vaccine introduction without expressing any personal opinion or stance towards vaccination.
446,neutral,the tweet is a factual statement about the flu and does not express any clear stance towards vaccination.
447,positive,"the user is expressing frustration about the delay in the second dose of the vaccine and highlights the importance of being fully vaccinated. this indicates a positive stance towards vaccination, as the user values the completion of the vaccination process."
448,neutral,"the tweet is a factual statement about a vaccine deal between the uk and pharmaceutical companies sanofi and gsk. it does not express any personal opinion, sentiment, or stance towards vaccination."
